artist,album,release_type,review_source,review_url,review_date,raw_score,normalized_score_10,genre_bucket,subgenre,status,manual_check_reason
Unknown Artist,Blue Island,album,Album of the Year,https://www.albumoftheyear.org/album/1842519-ravyn-lenae-blue-island.php,,,,Unknown,,aggregator_find,
Unknown Artist,Cannonball,album,Album of the Year,https://www.albumoftheyear.org/album/1784617-manwomanchainsaw-cannonball.php,,,,Unknown,,aggregator_find,
Unknown Artist,THERAPY AT THE CLUB,album,Album of the Year,https://www.albumoftheyear.org/album/1807508-flo-therapy-at-the-club.php,,,,Unknown,,aggregator_find,
Unknown Artist,WhyKiiiKiii,album,Album of the Year,https://www.albumoftheyear.org/album/1925365-kiiikiii-whykiiikiii.php,,,,Unknown,,aggregator_find,
Unknown Artist,More Than We Ever Imagined (Live in Mexico City),album,Album of the Year,https://www.albumoftheyear.org/album/1919907-twenty-one-pilots-more-than-we-ever-imagined-live-in-mexico-city.php,,,,Unknown,,aggregator_find,
Unknown Artist,Chuck Timely & The Hourglass,album,Album of the Year,https://www.albumoftheyear.org/album/1842532-role-model-chuck-timely-the-hourglass.php,,,,Unknown,,aggregator_find,
Unknown Artist,Halcyon Blues,album,Album of the Year,https://www.albumoftheyear.org/album/1795594-citizen-halcyon-blues.php,,,,Unknown,,aggregator_find,
Unknown Artist,Pure Devotion,album,Album of the Year,https://www.albumoftheyear.org/album/1809710-overmono-pure-devotion.php,,,,Unknown,,aggregator_find,
Unknown Artist,NO ME ARREPIENTO DE SENTIR TANTO,album,Album of the Year,https://www.albumoftheyear.org/album/1943627-karol-g-no-me-arrepiento-de-sentir-tanto.php,,,,Unknown,,aggregator_find,
Unknown Artist,Hyper-Ego,album,Album of the Year,https://www.albumoftheyear.org/album/1864750-artms-hyper-ego.php,,,,Unknown,,aggregator_find,
Unknown Artist,Tell Me Your Dream,album,Album of the Year,https://www.albumoftheyear.org/album/1872705-ceremony-tell-me-your-dream.php,,,,Unknown,,aggregator_find,
Unknown Artist,Cathedral,album,Album of the Year,https://www.albumoftheyear.org/album/1832905-john-carpenter-cathedral.php,,,,Unknown,,aggregator_find,
